match_id,innings,date,season_clean,season_year,venue,batting_team,bowling_team,total_runs,batter_runs,extras,valid_balls,wickets,bowler_wickets,fours,sixes,dot_balls,overs,run_rate,boundaries,boundary_runs,boundary_pct,dot_ball_pct
335982,1,2008-04-18,2008,2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,222,205,17,120,3,3,15,14,36,20.0,11.1,29,144,64.86,30.0
335982,2,2008-04-18,2008,2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,82,63,19,91,10,9,3,3,50,15.17,5.41,6,30,36.59,54.95
335983,1,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,240,234,6,120,5,5,20,16,34,20.0,12.0,36,176,73.33,28.33
335983,2,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,207,196,11,120,4,4,18,9,23,20.0,10.35,27,126,60.87,19.17
335984,1,2008-04-19,2008,2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,129,122,7,120,8,6,14,3,54,20.0,6.45,17,74,57.36,45.0
335984,2,2008-04-19,2008,2008,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,132,122,10,91,1,1,18,1,31,15.17,8.7,19,78,59.09,34.07
335985,1,2008-04-20,2008,2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,165,154,11,120,7,5,18,5,45,20.0,8.25,23,102,61.82,37.5
335985,2,2008-04-20,2008,2008,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,166,161,5,118,5,5,15,6,36,19.67,8.44,21,96,57.83,30.51
335986,1,2008-04-20,2008,2008,Eden Gardens,Deccan Chargers,Kolkata Knight Riders,110,100,10,112,10,9,6,6,62,18.67,5.89,12,60,54.55,55.36
335986,2,2008-04-20,2008,2008,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,112,84,28,114,5,5,5,4,61,19.0,5.89,9,44,39.29,53.51
335987,1,2008-04-21,2008,2008,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,166,162,4,119,8,7,18,7,54,19.83,8.37,25,114,68.67,45.38
335987,2,2008-04-21,2008,2008,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,168,156,12,109,4,4,17,7,47,18.17,9.25,24,110,65.48,43.12
335988,1,2008-04-22,2008,2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,142,137,5,120,8,7,12,6,56,20.0,7.1,18,84,59.15,46.67
335988,2,2008-04-22,2008,2008,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Deccan Chargers,143,131,12,78,1,1,15,6,26,13.0,11.0,21,96,67.13,33.33
335989,1,2008-04-23,2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,208,190,18,120,5,4,24,6,37,20.0,10.4,30,132,63.46,30.83
