match_id,date,season_clean,season_year,venue,city,match_type,event_name,toss_winner,toss_decision,match_won_by,win_outcome,player_of_match,result_type,method,superover_winner,team1,team2,team1_score,team1_wickets,team2_score,team2_wickets,batting_first_team,chasing_team,winner_type,toss_winner_won
335982,2008-04-18,2008,2008,M Chinnaswamy Stadium,Bangalore,T20,Indian Premier League,Royal Challengers Bangalore,field,Kolkata Knight Riders,140 runs,BB McCullum,,,,Kolkata Knight Riders,Royal Challengers Bangalore,222,3,82.0,10.0,Kolkata Knight Riders,Royal Challengers Bangalore,Batting First,False
335983,2008-04-19,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,T20,Indian Premier League,Chennai Super Kings,bat,Chennai Super Kings,33 runs,MEK Hussey,,,,Chennai Super Kings,Kings XI Punjab,240,5,207.0,4.0,Chennai Super Kings,Kings XI Punjab,Batting First,True
335984,2008-04-19,2008,2008,Feroz Shah Kotla,Delhi,T20,Indian Premier League,Rajasthan Royals,bat,Delhi Daredevils,9 wickets,MF Maharoof,,,,Rajasthan Royals,Delhi Daredevils,129,8,132.0,1.0,Rajasthan Royals,Delhi Daredevils,Chasing,False
335985,2008-04-20,2008,2008,Wankhede Stadium,Mumbai,T20,Indian Premier League,Mumbai Indians,bat,Royal Challengers Bangalore,5 wickets,MV Boucher,,,,Mumbai Indians,Royal Challengers Bangalore,165,7,166.0,5.0,Mumbai Indians,Royal Challengers Bangalore,Chasing,False
335986,2008-04-20,2008,2008,Eden Gardens,Kolkata,T20,Indian Premier League,Deccan Chargers,bat,Kolkata Knight Riders,5 wickets,DJ Hussey,,,,Deccan Chargers,Kolkata Knight Riders,110,10,112.0,5.0,Deccan Chargers,Kolkata Knight Riders,Chasing,False
335987,2008-04-21,2008,2008,Sawai Mansingh Stadium,Jaipur,T20,Indian Premier League,Kings XI Punjab,bat,Rajasthan Royals,6 wickets,SR Watson,,,,Kings XI Punjab,Rajasthan Royals,166,8,168.0,4.0,Kings XI Punjab,Rajasthan Royals,Chasing,False
335988,2008-04-22,2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,T20,Indian Premier League,Deccan Chargers,bat,Delhi Daredevils,9 wickets,V Sehwag,,,,Deccan Chargers,Delhi Daredevils,142,8,143.0,1.0,Deccan Chargers,Delhi Daredevils,Chasing,False
335989,2008-04-23,2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,T20,Indian Premier League,Mumbai Indians,field,Chennai Super Kings,6 runs,ML Hayden,,,,Chennai Super Kings,Mumbai Indians,208,5,202.0,7.0,Chennai Super Kings,Mumbai Indians,Batting First,False
335990,2008-04-24,2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,T20,Indian Premier League,Rajasthan Royals,field,Rajasthan Royals,3 wickets,YK Pathan,,,,Deccan Chargers,Rajasthan Royals,214,5,217.0,7.0,Deccan Chargers,Rajasthan Royals,Chasing,True
335991,2008-04-25,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,T20,Indian Premier League,Mumbai Indians,field,Kings XI Punjab,66 runs,KC Sangakkara,,,,Kings XI Punjab,Mumbai Indians,182,10,116.0,9.0,Kings XI Punjab,Mumbai Indians,Batting First,False
335992,2008-04-26,2008,2008,M Chinnaswamy Stadium,Bangalore,T20,Indian Premier League,Rajasthan Royals,field,Rajasthan Royals,7 wickets,SR Watson,,,,Royal Challengers Bangalore,Rajasthan Royals,135,8,138.0,3.0,Royal Challengers Bangalore,Rajasthan Royals,Chasing,True
335993,2008-04-26,2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,T20,Indian Premier League,Kolkata Knight Riders,bat,Chennai Super Kings,9 wickets,JDP Oram,,,,Kolkata Knight Riders,Chennai Super Kings,147,9,152.0,1.0,Kolkata Knight Riders,Chennai Super Kings,Chasing,False
335994,2008-04-27,2008,2008,Dr DY Patil Sports Academy,Mumbai,T20,Indian Premier League,Deccan Chargers,field,Deccan Chargers,10 wickets,AC Gilchrist,,,,Mumbai Indians,Deccan Chargers,154,7,155.0,0.0,Mumbai Indians,Deccan Chargers,Chasing,True
335995,2008-04-27,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,T20,Indian Premier League,Delhi Daredevils,bat,Kings XI Punjab,4 wickets,SM Katich,,,,Delhi Daredevils,Kings XI Punjab,158,8,162.0,6.0,Delhi Daredevils,Kings XI Punjab,Chasing,False
335996,2008-04-28,2008,2008,M Chinnaswamy Stadium,Bangalore,T20,Indian Premier League,Chennai Super Kings,bat,Chennai Super Kings,13 runs,MS Dhoni,,,,Chennai Super Kings,Royal Challengers Bangalore,178,5,165.0,10.0,Chennai Super Kings,Royal Challengers Bangalore,Batting First,True
335997,2008-04-29,2008,2008,Eden Gardens,Kolkata,T20,Indian Premier League,Kolkata Knight Riders,bat,Mumbai Indians,7 wickets,ST Jayasuriya,,,,Kolkata Knight Riders,Mumbai Indians,137,8,138.0,3.0,Kolkata Knight Riders,Mumbai Indians,Chasing,False
335998,2008-04-30,2008,2008,Feroz Shah Kotla,Delhi,T20,Indian Premier League,Royal Challengers Bangalore,field,Delhi Daredevils,10 runs,GD McGrath,,,,Delhi Daredevils,Royal Challengers Bangalore,191,5,181.0,5.0,Delhi Daredevils,Royal Challengers Bangalore,Batting First,False
335999,2008-05-01,2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,T20,Indian Premier League,Kings XI Punjab,field,Kings XI Punjab,7 wickets,SE Marsh,,,,Deccan Chargers,Kings XI Punjab,164,8,167.0,3.0,Deccan Chargers,Kings XI Punjab,Chasing,True
336000,2008-05-01,2008,2008,Sawai Mansingh Stadium,Jaipur,T20,Indian Premier League,Rajasthan Royals,bat,Rajasthan Royals,45 runs,SA Asnodkar,,,,Rajasthan Royals,Kolkata Knight Riders,196,7,151.0,10.0,Rajasthan Royals,Kolkata Knight Riders,Batting First,True
336001,2008-05-02,2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,T20,Indian Premier League,Chennai Super Kings,bat,Delhi Daredevils,8 wickets,V Sehwag,,,,Chennai Super Kings,Delhi Daredevils,169,6,172.0,2.0,Chennai Super Kings,Delhi Daredevils,Chasing,False
336003,2008-05-03,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,T20,Indian Premier League,Kings XI Punjab,bat,Kings XI Punjab,9 runs,IK Pathan,,,,Kings XI Punjab,Kolkata Knight Riders,178,6,169.0,6.0,Kings XI Punjab,Kolkata Knight Riders,Batting First,True
336034,2008-05-03,2008,2008,M Chinnaswamy Stadium,Bangalore,T20,Indian Premier League,Deccan Chargers,field,Royal Challengers Bangalore,3 runs,P Kumar,,,,Royal Challengers Bangalore,Deccan Chargers,156,8,153.0,6.0,Royal Challengers Bangalore,Deccan Chargers,Batting First,False
336004,2008-05-04,2008,2008,Dr DY Patil Sports Academy,Mumbai,T20,Indian Premier League,Delhi Daredevils,field,Mumbai Indians,29 runs,SM Pollock,,,,Mumbai Indians,Delhi Daredevils,162,8,133.0,10.0,Mumbai Indians,Delhi Daredevils,Batting First,False
336005,2008-05-04,2008,2008,Sawai Mansingh Stadium,Jaipur,T20,Indian Premier League,Chennai Super Kings,bat,Rajasthan Royals,8 wickets,Sohail Tanvir,,,,Chennai Super Kings,Rajasthan Royals,109,10,110.0,2.0,Chennai Super Kings,Rajasthan Royals,Chasing,False
336006,2008-05-05,2008,2008,M Chinnaswamy Stadium,Bangalore,T20,Indian Premier League,Kings XI Punjab,field,Kings XI Punjab,6 wickets,S Sreesanth,,,,Royal Challengers Bangalore,Kings XI Punjab,126,10,127.0,4.0,Royal Challengers Bangalore,Kings XI Punjab,Chasing,True
336007,2008-05-06,2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,T20,Indian Premier League,Deccan Chargers,field,Deccan Chargers,7 wickets,AC Gilchrist,,,,Chennai Super Kings,Deccan Chargers,144,7,148.0,3.0,Chennai Super Kings,Deccan Chargers,Chasing,True
336008,2008-05-07,2008,2008,Dr DY Patil Sports Academy,Mumbai,T20,Indian Premier League,Mumbai Indians,field,Mumbai Indians,7 wickets,A Nehra,,,,Rajasthan Royals,Mumbai Indians,103,10,104.0,3.0,Rajasthan Royals,Mumbai Indians,Chasing,True
336009,2008-05-08,2008,2008,Feroz Shah Kotla,Delhi,T20,Indian Premier League,Chennai Super Kings,field,Chennai Super Kings,4 wickets,MS Dhoni,,,,Delhi Daredevils,Chennai Super Kings,187,5,188.0,6.0,Delhi Daredevils,Chennai Super Kings,Chasing,True
336010,2008-05-08,2008,2008,Eden Gardens,Kolkata,T20,Indian Premier League,Kolkata Knight Riders,bat,Kolkata Knight Riders,5 runs,SC Ganguly,,,,Kolkata Knight Riders,Royal Challengers Bangalore,129,7,124.0,4.0,Kolkata Knight Riders,Royal Challengers Bangalore,Batting First,True
336011,2008-05-09,2008,2008,Sawai Mansingh Stadium,Jaipur,T20,Indian Premier League,Rajasthan Royals,field,Rajasthan Royals,8 wickets,YK Pathan,,,,Deccan Chargers,Rajasthan Royals,140,8,141.0,2.0,Deccan Chargers,Rajasthan Royals,Chasing,True
336013,2008-05-10,2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,T20,Indian Premier League,Kings XI Punjab,field,Chennai Super Kings,18 runs,L Balaji,,,,Chennai Super Kings,Kings XI Punjab,181,4,163.0,9.0,Chennai Super Kings,Kings XI Punjab,Batting First,False
336014,2008-05-11,2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,T20,Indian Premier League,Kolkata Knight Riders,bat,Kolkata Knight Riders,23 runs,SC Ganguly,,,,Kolkata Knight Riders,Deccan Chargers,204,4,181.0,7.0,Kolkata Knight Riders,Deccan Chargers,Batting First,True
336015,2008-05-11,2008,2008,Sawai Mansingh Stadium,Jaipur,T20,Indian Premier League,Rajasthan Royals,field,Rajasthan Royals,3 wickets,SR Watson,,,,Delhi Daredevils,Rajasthan Royals,156,7,159.0,7.0,Delhi Daredevils,Rajasthan Royals,Chasing,True
336016,2008-05-12,2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,T20,Indian Premier League,Royal Challengers Bangalore,bat,Kings XI Punjab,9 wickets,SE Marsh,,,,Royal Challengers Bangalore,Kings XI Punjab,143,8,144.0,1.0,Royal Challengers Bangalore,Kings XI Punjab,Chasing,False
336017,2008-05-13,2008,2008,Eden Gardens,Kolkata,T20,Indian Premier League,Kolkata Knight Riders,bat,Kolkata Knight Riders,23 runs,Shoaib Akhtar,,,,Kolkata Knight Riders,Delhi Daredevils,133,6,110.0,10.0,Kolkata Knight Riders,Delhi Daredevils,Batting First,True
336018,2008-05-14,2008,2008,Wankhede Stadium,Mumbai,T20,Indian Premier League,Mumbai Indians,field,Mumbai Indians,9 wickets,ST Jayasuriya,,,,Chennai Super Kings,Mumbai Indians,156,6,158.0,1.0,Chennai Super Kings,Mumbai Indians,Chasing,True
336020,2008-05-15,2008,2008,Feroz Shah Kotla,Delhi,T20,Indian Premier League,Deccan Chargers,field,Delhi Daredevils,12 runs,A Mishra,,,,Delhi Daredevils,Deccan Chargers,194,4,182.0,9.0,Delhi Daredevils,Deccan Chargers,Batting First,False
336021,2008-05-16,2008,2008,Wankhede Stadium,Mumbai,T20,Indian Premier League,Mumbai Indians,field,Mumbai Indians,8 wickets,SM Pollock,,,,Kolkata Knight Riders,Mumbai Indians,67,10,68.0,2.0,Kolkata Knight Riders,Mumbai Indians,Chasing,True
336022,2008-05-17,2008,2008,Feroz Shah Kotla,Delhi,T20,Indian Premier League,Delhi Daredevils,bat,Kings XI Punjab,6 runs,DPMD Jayawardene,,D/L,,Delhi Daredevils,Kings XI Punjab,118,4,94.0,3.0,Delhi Daredevils,Kings XI Punjab,Chasing,False
336023,2008-05-17,2008,2008,Sawai Mansingh Stadium,Jaipur,T20,Indian Premier League,Royal Challengers Bangalore,field,Rajasthan Royals,65 runs,GC Smith,,,,Rajasthan Royals,Royal Challengers Bangalore,197,1,132.0,9.0,Rajasthan Royals,Royal Challengers Bangalore,Batting First,False
336024,2008-05-18,2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,T20,Indian Premier League,Deccan Chargers,field,Mumbai Indians,25 runs,DJ Bravo,,,,Mumbai Indians,Deccan Chargers,178,7,153.0,7.0,Mumbai Indians,Deccan Chargers,Batting First,False
336025,2008-05-18,2008,2008,Eden Gardens,Kolkata,T20,Indian Premier League,Kolkata Knight Riders,bat,Chennai Super Kings,3 runs,M Ntini,,D/L,,Kolkata Knight Riders,Chennai Super Kings,149,5,55.0,0.0,Kolkata Knight Riders,Chennai Super Kings,Chasing,False
336026,2008-05-19,2008,2008,M Chinnaswamy Stadium,Bangalore,T20,Indian Premier League,Delhi Daredevils,field,Delhi Daredevils,5 wickets,SP Goswami,,,,Royal Challengers Bangalore,Delhi Daredevils,154,7,158.0,5.0,Royal Challengers Bangalore,Delhi Daredevils,Chasing,True
