over_number,phase,runs,batter_runs,extras,valid_balls,wickets,bowler_wickets,fours,sixes,dot_balls,overs_bowled,run_rate,dot_ball_pct
1,Powerplay,16098,14633,1465,15045,533,498,2001,277,8254,2507.5,6.42,54.86
2,Powerplay,18952,17495,1457,14869,578,538,2306,516,7408,2478.2,7.65,49.82
3,Powerplay,20872,19778,1094,14868,629,598,2535,688,6730,2478.0,8.42,45.26
4,Powerplay,21497,20481,1016,14862,617,576,2577,746,6426,2477.0,8.68,43.24
5,Powerplay,21507,20576,931,14851,653,630,2527,783,6366,2475.2,8.69,42.87
6,Powerplay,21577,20571,1006,14823,604,566,2496,773,6124,2470.5,8.73,41.31
7,Middle Overs,17347,16459,888,14805,509,472,1199,496,5141,2467.5,7.03,34.72
8,Middle Overs,18528,17712,816,14796,545,512,1319,593,4818,2466.0,7.51,32.56
9,Middle Overs,19190,18371,819,14750,610,570,1353,707,4760,2458.3,7.81,32.27
10,Middle Overs,18860,18071,789,14731,568,537,1336,623,4645,2455.2,7.68,31.53
11,Middle Overs,19536,18765,771,14655,654,620,1399,734,4645,2442.5,8.0,31.7
12,Middle Overs,19865,19069,796,14589,636,587,1408,759,4410,2431.5,8.17,30.23
13,Middle Overs,19859,18925,934,14527,681,642,1288,841,4567,2421.2,8.2,31.44
14,Middle Overs,20335,19475,860,14422,721,673,1410,859,4414,2403.7,8.46,30.61
15,Middle Overs,20763,19864,899,14251,784,740,1560,876,4377,2375.2,8.74,30.71
16,Death Overs,21231,20245,986,14020,840,786,1436,1011,4112,2336.7,9.09,29.33
17,Death Overs,21625,20505,1120,13664,889,828,1640,975,3897,2277.3,9.5,28.52
18,Death Overs,22327,21158,1169,13214,1079,994,1628,1155,3670,2202.3,10.14,27.77
19,Death Overs,21621,20446,1175,12307,1113,994,1592,1154,3463,2051.2,10.54,28.14
20,Death Overs,20148,18930,1218,10581,1462,1121,1437,1213,3003,1763.5,11.43,28.38
