team,matches,wins,losses,win_percentage,innings_batted,total_runs,total_wickets_lost,average_score,average_run_rate,highest_score,lowest_score,batting_first_matches,batting_first_wins,batting_first_win_pct,chasing_matches,chasing_wins,chasing_win_pct,toss_won,toss_win_pct,toss_and_match_wins,toss_and_match_win_pct
Mumbai Indians,291,155,136,53.26,296,47641,1749,160.95,8.56,247,5,150,77,51.33,141,78,55.32,160,54.98,85,53.12
Chennai Super Kings,266,148,118,55.64,266,43600,1424,163.91,8.47,246,9,144,74,51.39,122,74,60.66,133,50.0,79,59.4
Kolkata Knight Riders,278,140,138,50.36,283,43646,1650,154.23,8.48,272,3,133,56,42.11,145,84,57.93,135,48.56,73,54.07
Rajasthan Royals,251,123,128,49.0,254,40437,1505,159.2,8.59,243,6,117,50,42.74,134,73,54.48,137,54.58,66,48.18
Royal Challengers Bangalore,240,114,126,47.5,243,37692,1384,155.11,8.39,263,2,121,53,43.8,119,61,51.26,113,47.08,56,49.56
Sunrisers Hyderabad,211,102,109,48.34,214,34640,1242,161.87,8.62,287,2,112,53,47.32,99,49,49.49,100,47.39,43,43.0
Kings XI Punjab,190,85,105,44.74,195,30064,1158,154.17,8.36,232,2,97,39,40.21,93,46,49.46,85,44.74,35,41.18
Delhi Daredevils,161,67,94,41.61,162,24296,952,149.98,8.07,231,11,72,25,34.72,89,42,47.19,80,49.69,35,43.75
Delhi Capitals,120,58,62,48.33,123,19959,745,162.27,8.8,264,3,52,23,44.23,68,35,51.47,68,56.67,34,50.0
Gujarat Titans,77,47,30,61.04,77,13743,416,178.48,9.19,233,89,34,19,55.88,43,28,65.12,36,46.75,23,63.89
Punjab Kings,88,41,47,46.59,87,15509,548,178.26,9.35,265,98,47,17,36.17,41,24,58.54,44,50.0,22,50.0
Lucknow Super Giants,72,34,38,47.22,73,12754,453,174.71,8.96,257,1,41,21,51.22,31,13,41.94,30,41.67,16,53.33
Deccan Chargers,75,29,46,38.67,75,11463,484,152.84,7.87,214,82,43,18,41.86,32,11,34.38,43,57.33,19,44.19
Royal Challengers Bengaluru,46,29,17,63.04,46,8640,265,187.83,10.15,262,77,24,13,54.17,22,16,72.73,23,50.0,17,73.91
Gujarat Lions,30,13,17,43.33,31,4862,188,156.84,8.44,208,6,14,1,7.14,16,12,75.0,15,50.0,10,66.67
Pune Warriors,46,12,34,26.09,45,6358,298,141.29,7.24,192,99,20,6,30.0,26,6,23.08,20,43.48,3,15.0
Rising Pune Supergiant,16,10,6,62.5,16,2470,90,154.38,7.99,187,78,8,5,62.5,8,5,62.5,6,37.5,5,83.33
Kochi Tuskers Kerala,14,6,8,42.86,14,1901,86,135.79,7.84,184,74,7,2,28.57,7,4,57.14,8,57.14,4,50.0
Rising Pune Supergiants,14,5,9,35.71,14,2063,68,147.36,8.1,195,76,7,0,0.0,7,5,71.43,7,50.0,3,42.86
