venue,matches,city,avg_1st_innings_score,avg_2nd_innings_score,highest_score,lowest_score,chasing_wins,chasing_win_pct
Eden Gardens,77,Kolkata,160.2,147.1,232,49,47,61.04
Wankhede Stadium,73,Mumbai,166.0,154.4,235,8,37,50.68
M Chinnaswamy Stadium,65,Bangalore,168.1,145.5,263,2,36,55.38
Feroz Shah Kotla,60,Delhi,161.6,147.8,231,44,32,53.33
"Wankhede Stadium, Mumbai",59,Mumbai,181.9,171.5,249,97,35,59.32
"Rajiv Gandhi International Stadium, Uppal",49,Hyderabad,156.1,147.0,223,15,29,59.18
"MA Chidambaram Stadium, Chepauk",48,Chennai,166.0,151.9,246,9,17,35.42
Sawai Mansingh Stadium,47,Jaipur,157.7,145.8,197,60,32,68.09
Dubai International Cricket Stadium,46,Unknown,163.8,149.1,219,2,22,47.83
"Narendra Modi Stadium, Ahmedabad",41,Ahmedabad,185.8,166.1,243,86,21,51.22
"MA Chidambaram Stadium, Chepauk, Chennai",41,Chennai,168.3,156.9,217,7,23,56.1
"Punjab Cricket Association Stadium, Mohali",35,Chandigarh,163.3,150.6,240,84,20,57.14
"Eden Gardens, Kolkata",30,Kolkata,190.3,174.9,262,7,13,43.33
"Arun Jaitley Stadium, Delhi",30,Delhi,193.6,180.7,278,11,16,53.33
Sheikh Zayed Stadium,29,Abu Dhabi,158.9,145.6,206,2,16,55.17
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",29,Lucknow,174.8,166.5,235,1,16,55.17
Sharjah Cricket Stadium,28,Unknown,159.0,147.5,228,85,18,64.29
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",26,Hyderabad,194.7,181.8,286,131,12,46.15
"M Chinnaswamy Stadium, Bengaluru",24,Bengaluru,190.4,181.7,287,95,13,54.17
Maharashtra Cricket Association Stadium,22,Pune,166.4,152.1,211,73,14,63.64
"Sawai Mansingh Stadium, Jaipur",21,Jaipur,194.5,178.3,229,59,12,57.14
"Dr DY Patil Sports Academy, Mumbai",20,Mumbai,170.7,158.0,216,113,10,50.0
"Brabourne Stadium, Mumbai",17,Mumbai,177.4,165.2,217,68,9,52.94
Dr DY Patil Sports Academy,17,Mumbai,146.6,136.3,190,82,10,58.82
Subrata Roy Sahara Stadium,16,Pune,149.4,133.6,187,99,6,37.5
M.Chinnaswamy Stadium,15,Bengaluru,173.9,167.9,218,41,7,46.67
Rajiv Gandhi International Stadium,15,Hyderabad,162.6,146.1,231,96,7,46.67
Kingsmead,15,Durban,152.0,138.2,211,79,7,46.67
Arun Jaitley Stadium,14,Delhi,168.3,155.0,219,7,6,42.86
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,Visakhapatnam,157.5,130.7,206,76,7,53.85
"Maharashtra Cricket Association Stadium, Pune",13,Pune,171.5,144.5,210,82,3,23.08
SuperSport Park,12,Centurion,154.8,149.6,189,105,8,66.67
"Sardar Patel Stadium, Motera",12,Ahmedabad,163.2,149.0,201,6,5,41.67
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,Chandigarh,164.1,158.2,207,67,6,54.55
Saurashtra Cricket Association Stadium,10,Rajkot,168.9,162.7,213,6,6,60.0
Punjab Cricket Association IS Bindra Stadium,10,Chandigarh,175.6,172.0,197,150,6,60.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,Mohali,163.0,155.4,219,95,5,50.0
Brabourne Stadium,10,Mumbai,180.4,167.7,212,115,4,40.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",10,Dharamsala,205.2,187.6,254,122,3,30.0
Himachal Pradesh Cricket Association Stadium,9,Dharamsala,175.7,146.2,232,116,4,44.44
Holkar Cricket Stadium,9,Indore,160.3,158.8,245,88,8,88.89
MA Chidambaram Stadium,9,Chennai,150.6,134.2,205,70,5,55.56
"Barsapara Cricket Stadium, Guwahati",8,Guwahati,168.9,157.6,202,123,4,50.0
New Wanderers Stadium,8,Johannesburg,144.0,142.5,166,123,5,62.5
"Zayed Cricket Stadium, Abu Dhabi",8,Abu Dhabi,159.0,150.4,235,92,5,62.5
Newlands,7,Cape Town,139.4,112.6,184,15,2,28.57
St George's Park,7,Port Elizabeth,159.0,131.4,187,87,4,57.14
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",7,New Chandigarh,220.3,205.6,254,162,4,57.14
JSCA International Stadium Complex,7,Ranchi,149.0,144.7,189,114,5,71.43
Barabati Stadium,7,Cuttack,167.7,157.7,231,126,3,42.86
Shaheed Veer Narayan Singh International Stadium,6,Raipur,146.3,143.8,164,119,4,66.67
Nehru Stadium,5,Kochi,146.8,125.8,162,74,2,40.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,Chandigarh,197.8,173.4,257,146,2,40.0
Green Park,4,Kanpur,161.2,163.2,197,124,4,100.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,Visakhapatnam,208.8,178.5,272,163,2,50.0
De Beers Diamond Oval,3,Kimberley,158.0,141.0,169,113,2,66.67
Buffalo Park,3,East London,147.3,119.0,178,100,1,33.33
"Vidarbha Cricket Association Stadium, Jamtha",3,Nagpur,149.3,144.7,159,138,1,33.33
OUTsurance Oval,2,Bloemfontein,135.0,129.5,150,120,1,50.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",2,Raipur,179.0,180.5,194,166,2,100.0
